,time,latency
1054,2020-04-29 09:05:54.194527,32.53955824533477
1085,2020-04-29 09:31:08.537151,27.769108207896352
1086,2020-04-29 09:31:09.243619,28.443194624967877
1087,2020-04-29 09:31:09.418604,28.634130103047934
1088,2020-04-29 09:31:10.197114,29.36635399190709
1089,2020-04-29 09:31:11.083607,30.21273821499199
1120,2020-04-29 09:56:24.569820,27.04852318810299
1121,2020-04-29 09:56:24.660335,27.10694607393816
1122,2020-04-29 09:56:26.138010,28.600456492975354
1123,2020-04-29 09:56:26.648038,29.0680680051446
1124,2020-04-29 09:56:26.769481,29.15160990692675
1155,2020-04-29 10:21:26.464263,23.38380943704396
1156,2020-04-29 10:21:31.967560,28.78482455573976
1157,2020-04-29 10:21:32.440468,29.34368736902252
1158,2020-04-29 10:21:32.518239,29.40563559578732
1159,2020-04-29 10:21:32.562685,29.419806041754786
1190,2020-04-29 10:46:43.251929,27.270399760920554
1191,2020-04-29 10:46:44.593341,28.5310215507634
1192,2020-04-29 10:46:44.838519,28.87376720411703
1193,2020-04-29 10:46:44.981780,28.98446751572192
1194,2020-04-29 10:46:45.982185,29.958247854374353
1225,2020-04-29 11:11:46.918620,26.052584169898186
1226,2020-04-29 11:11:49.005904,28.081307520158592
1227,2020-04-29 11:11:50.089311,29.207139878999442
1228,2020-04-29 11:11:50.171323,29.273197120986882
1229,2020-04-29 11:11:50.992897,30.021962127648287
1260,2020-04-29 11:36:51.088680,28.032922470010813
1261,2020-04-29 11:36:51.256812,28.184598573949188
1262,2020-04-29 11:36:52.352311,29.264220245182514
1263,2020-04-29 11:36:52.442091,29.28807063400745
1264,2020-04-29 11:36:53.202734,30.08689779182896
1295,2020-04-29 12:01:56.898017,27.833982263226066
1296,2020-04-29 12:01:56.907743,27.82728443015367
1297,2020-04-29 12:01:57.308920,28.150209234096106
1298,2020-04-29 12:01:57.582687,28.459942394401878
1299,2020-04-29 12:01:58.053572,28.957291041035205
1330,2020-04-29 12:27:04.305820,28.675295738969
1331,2020-04-29 12:27:04.379969,28.78237308608368
1332,2020-04-29 12:27:04.618235,29.00376390479505
1333,2020-04-29 12:27:05.060293,29.40329828299582
1334,2020-04-29 12:27:05.142278,29.439445950090885
1365,2020-04-29 12:52:06.045173,28.506922521628443
1366,2020-04-29 12:52:07.482998,29.902517004869882
1367,2020-04-29 12:52:07.871755,30.31764603685588
1368,2020-04-29 12:52:07.978218,30.35135762766004
1369,2020-04-29 12:52:07.989436,30.46769704204053
1400,2020-04-29 13:17:04.247594,27.154746548272673
1401,2020-04-29 13:17:05.523020,28.333294128067788
1402,2020-04-29 13:17:05.660680,28.5515391160734
1403,2020-04-29 13:17:06.123153,28.998141191899773
1404,2020-04-29 13:17:06.969208,29.817569832317535
1435,2020-04-29 13:42:04.730120,26.16217108909041
1436,2020-04-29 13:42:06.912514,28.283714585937556
1437,2020-04-29 13:42:07.078474,28.41041630599648
1438,2020-04-29 13:42:07.570992,28.968766881152987
1439,2020-04-29 13:42:07.578711,28.994426084682345
1470,2020-04-29 14:07:09.849794,27.674607529770583
1471,2020-04-29 14:07:10.931259,28.723870670888573
1472,2020-04-29 14:07:11.643231,29.41334042605013
1473,2020-04-29 14:07:11.761573,29.57003472372889
1474,2020-04-29 14:07:12.026988,29.754177826922394
1505,2020-04-29 14:32:07.065191,27.00345299579203
1506,2020-04-29 14:32:08.183952,28.10580711998045
1507,2020-04-29 14:32:08.648943,28.482109157834202
1508,2020-04-29 14:32:09.544123,29.45000481884927
1509,2020-04-29 14:32:09.985248,29.864669612608854
1540,2020-04-29 14:57:27.061583,28.498698367737237
1541,2020-04-29 14:57:27.225655,28.67889952939004
1542,2020-04-29 14:57:27.330158,28.695342411287125
1543,2020-04-29 14:57:27.396004,28.866106755100194
1544,2020-04-29 14:57:27.789956,29.20104480301961
1575,2020-04-29 15:22:31.784914,27.71284919092432
1576,2020-04-29 15:22:32.262423,28.17388971801847
1577,2020-04-29 15:22:33.041312,28.866505862213675
1578,2020-04-29 15:22:33.139624,29.035241781733927
1579,2020-04-29 15:22:33.476752,29.34596328809857
1610,2020-04-29 15:47:33.629075,26.41308706160635
1611,2020-04-29 15:47:35.047979,27.777186140883714
1612,2020-04-29 15:47:35.917207,28.608649806119498
1613,2020-04-29 15:47:36.034754,28.802496689837426
1614,2020-04-29 15:47:36.132518,28.884364128112797
1645,2020-04-29 16:12:50.655294,28.553202961105853
1646,2020-04-29 16:12:52.206928,30.147503360174603
1647,2020-04-29 16:12:52.214100,30.171559360809628
1648,2020-04-29 16:12:52.239700,30.163960470352322
1649,2020-04-29 16:12:52.241388,30.138381781056523
1680,2020-04-29 16:37:50.614107,28.029595052823424
1681,2020-04-29 16:37:50.988803,28.388532110024247
1682,2020-04-29 16:37:51.465657,28.80683009000495
1683,2020-04-29 16:37:51.701457,29.13359640398994
1684,2020-04-29 16:37:52.344226,29.721373156178746
1715,2020-04-29 17:02:50.240217,24.33609239989892
1716,2020-04-29 17:02:53.923458,28.003141840919852
1717,2020-04-29 17:02:56.111886,30.14510553702712
1718,2020-04-29 17:02:56.125200,30.118450990878053
1719,2020-04-29 17:02:56.129896,30.193591683171693
1750,2020-04-29 17:28:00.665784,28.090699811000377
1751,2020-04-29 17:28:01.497839,28.905720157083124
1752,2020-04-29 17:28:01.579094,28.90429762704298
1753,2020-04-29 17:28:02.471816,29.863649158272892
1754,2020-04-29 17:28:02.799020,30.16824380587786
1785,2020-04-29 17:53:04.989191,28.648520472459488
1786,2020-04-29 17:53:05.003108,28.616261269897226
1787,2020-04-29 17:53:05.382064,29.10023595811799
1788,2020-04-29 17:53:05.664969,29.350896397139877
1789,2020-04-29 17:53:06.873101,30.574890709947795
1820,2020-04-29 18:18:06.795916,26.721967604011297
1821,2020-04-29 18:18:08.817654,28.839067175984386
1822,2020-04-29 18:18:08.859006,28.86385521618649
1823,2020-04-29 18:18:17.796114,37.78493416495621
1824,2020-04-29 18:18:17.889207,37.85144108999521
1855,2020-04-29 18:43:22.787491,28.752942107152194
1856,2020-04-29 18:43:23.038578,29.00403541699052
1857,2020-04-29 18:43:23.687272,29.594733913894743
1858,2020-04-29 18:43:23.971575,29.905436235014353
1859,2020-04-29 18:43:24.497896,30.359027342870828
1890,2020-04-29 19:08:31.084711,28.697783099953085
1891,2020-04-29 19:08:31.160840,28.86257295869291
1892,2020-04-29 19:08:31.172415,28.831696768756963
1893,2020-04-29 19:08:32.356438,30.07462352188304
1894,2020-04-29 19:08:32.589524,30.27518496289849
1925,2020-04-29 19:33:28.345189,27.819842536933717
1926,2020-04-29 19:33:28.655334,28.08774224901572
1927,2020-04-29 19:33:29.152732,28.547110544051968
1928,2020-04-29 19:33:30.175577,29.634420827031136
1929,2020-04-29 19:33:30.485401,29.976640501059588
1960,2020-04-29 19:58:39.916898,27.63506700191647
1961,2020-04-29 19:58:41.008637,28.66765923891216
1962,2020-04-29 19:58:41.364300,29.066006133798513
1963,2020-04-29 19:58:41.450285,29.13582573784516
1964,2020-04-29 19:58:43.000167,30.61641480587423
1995,2020-04-29 20:23:49.604455,28.02802543574944
1996,2020-04-29 20:23:49.741949,28.147743168286983
1997,2020-04-29 20:23:50.763523,29.152077774051577
1998,2020-04-29 20:23:50.767828,29.125055998098105
1999,2020-04-29 20:23:51.200486,29.517737356945872
2030,2020-04-29 20:48:55.286594,27.945810987148434
2031,2020-04-29 20:48:55.347542,28.03346866276115
2032,2020-04-29 20:48:56.215158,28.933412126731128
2033,2020-04-29 20:48:56.349968,28.971070150844756
2034,2020-04-29 20:48:56.366823,29.068622406106442
2065,2020-04-29 21:14:03.266739,27.416477946564555
2066,2020-04-29 21:14:04.503842,28.581017516087737
2067,2020-04-29 21:14:04.923149,29.10554665932432
2068,2020-04-29 21:14:04.928260,29.051754208747298
2069,2020-04-29 21:14:05.316907,29.482722220011052
2100,2020-04-29 21:39:14.101094,27.413780835922807
2101,2020-04-29 21:39:15.038265,28.282492158934478
2102,2020-04-29 21:39:15.654499,29.00007813004777
2103,2020-04-29 21:39:15.759459,29.088299463968724
2104,2020-04-29 21:39:16.511510,29.79805098986253
2135,2020-04-29 22:04:26.982856,22.910877915099267
2136,2020-04-29 22:04:31.323375,27.2190946303308
2137,2020-04-29 22:04:32.938698,28.76786664826795
2138,2020-04-29 22:04:33.337838,29.24950685631484
2139,2020-04-29 22:04:33.857164,29.730272187851373
2170,2020-04-29 22:29:56.211775,28.12168157985434
2171,2020-04-29 22:29:56.613511,28.540544772986326
2172,2020-04-29 22:29:56.957897,28.824041707906872
2173,2020-04-29 22:29:57.006084,28.89908439200371
2174,2020-04-29 22:29:58.420483,30.24440799886361
2205,2020-04-29 22:55:09.660925,29.099833252839748
2206,2020-04-29 22:55:09.680115,29.02935962798074
2207,2020-04-29 22:55:10.218307,29.611521385144442
2208,2020-04-29 22:55:10.645459,30.068536959122863
2209,2020-04-29 22:55:10.737604,30.19346817210317
2240,2020-04-29 23:20:35.252302,26.699956454336643
2241,2020-04-29 23:20:36.630234,28.045620066113766
2242,2020-04-29 23:20:36.946945,28.378310211934146
2243,2020-04-29 23:20:37.273290,28.61854517273605
2244,2020-04-29 23:20:37.371042,28.756296774838123
2275,2020-04-29 23:45:39.476809,21.884207660332322
2276,2020-04-29 23:45:44.695145,27.11929564829916
2277,2020-04-29 23:45:45.647644,28.012871664948765
2278,2020-04-29 23:45:45.658735,28.05029358994216
2279,2020-04-29 23:45:46.721869,29.04308705078438
2310,2020-04-30 00:10:57.923283,26.65186785999685
2311,2020-04-30 00:10:59.138989,27.83489786600694
2312,2020-04-30 00:10:59.405051,28.030188788659874
2313,2020-04-30 00:11:00.416089,29.081308478023853
2314,2020-04-30 00:11:00.493803,29.205783863086253
2345,2020-04-30 00:36:09.671824,25.46095555415377
2346,2020-04-30 00:36:11.643982,27.417307051829997
2347,2020-04-30 00:36:11.891159,27.697324587963518
2348,2020-04-30 00:36:12.552514,28.29915519012139
2349,2020-04-30 00:36:12.728079,28.436177764087915
2380,2020-04-30 01:01:26.835237,27.553469389211386
2381,2020-04-30 01:01:26.861404,27.48262949893251
2382,2020-04-30 01:01:26.879250,27.538787186145786
2383,2020-04-30 01:01:26.936851,27.622907717246555
2384,2020-04-30 01:01:27.618109,28.319985355250534
2415,2020-04-30 01:26:48.204555,27.05546879721805
2416,2020-04-30 01:26:48.618067,27.452587007079273
2417,2020-04-30 01:26:48.644216,27.389475801959637
2418,2020-04-30 01:26:49.304439,28.12123104510829
2419,2020-04-30 01:26:49.375965,28.165159870870408
2450,2020-04-30 01:52:14.160987,27.77388827176765
2451,2020-04-30 01:52:14.523828,28.209752513095737
2452,2020-04-30 01:52:14.605248,28.264778550248593
2453,2020-04-30 01:52:14.893125,28.594941216055304
2454,2020-04-30 01:52:16.160025,29.87826460786164
2485,2020-04-30 02:17:59.927079,25.60542719112709
2486,2020-04-30 02:18:02.165861,27.861533669289198
2487,2020-04-30 02:18:03.014859,28.650021655950688
2488,2020-04-30 02:18:03.141678,28.73086161725223
2489,2020-04-30 02:18:04.271613,29.93363197613507
2520,2020-04-30 02:43:33.586068,27.630408658180386
2521,2020-04-30 02:43:33.600205,27.62807641876861
2522,2020-04-30 02:43:34.021729,27.9629766298458
2523,2020-04-30 02:43:34.901613,28.88287069508806
2524,2020-04-30 02:43:34.912211,28.923659985885024
2555,2020-04-30 03:09:11.119955,28.40554300509393
2556,2020-04-30 03:09:11.332913,28.602159822825346
2557,2020-04-30 03:09:11.377647,28.604213193990287
2558,2020-04-30 03:09:11.811487,28.99550371384248
2559,2020-04-30 03:09:13.201388,30.45441434998065
2590,2020-04-30 03:34:48.141115,26.992360907141123
2591,2020-04-30 03:34:48.937390,27.756240987218924
2592,2020-04-30 03:34:49.237772,28.072711752727628
2593,2020-04-30 03:34:49.517228,28.309497839771208
2594,2020-04-30 03:34:51.240960,29.99494641181081
2625,2020-04-30 04:00:18.310028,26.237988395616412
2626,2020-04-30 04:00:20.241242,28.11445896094665
2627,2020-04-30 04:00:20.332313,28.228012830950323
2628,2020-04-30 04:00:20.439931,28.269083626102656
2629,2020-04-30 04:00:21.035598,28.947221285197887
2660,2020-04-30 04:25:45.048183,27.57170301815495
2661,2020-04-30 04:25:46.223442,28.687995160929862
2662,2020-04-30 04:25:46.239483,28.746734705287967
2663,2020-04-30 04:25:46.292825,28.71727886004373
2664,2020-04-30 04:25:47.582950,30.074282795190808
2695,2020-04-30 04:51:21.530822,27.45806368067861
2696,2020-04-30 04:51:22.079156,28.023132249247283
2697,2020-04-30 04:51:24.082810,29.924016831908368
2698,2020-04-30 04:51:25.413246,31.324595793150362
2699,2020-04-30 04:51:25.645609,31.526814940851178
2730,2020-04-30 05:17:02.371453,27.90848966594785
2731,2020-04-30 05:17:03.187845,28.709164229687303
2732,2020-04-30 05:17:03.687442,29.241109186317768
2733,2020-04-30 05:17:03.703570,29.1528256139718
2734,2020-04-30 05:17:03.725859,29.220942309591923
2765,2020-04-30 05:42:32.078884,25.829971094150096
2766,2020-04-30 05:42:33.217264,26.8624623878859
2767,2020-04-30 05:42:34.159405,27.89420087402686
2768,2020-04-30 05:42:35.302118,28.99378202809021
2769,2020-04-30 05:42:35.913315,29.631724379025396
2800,2020-04-30 06:07:59.552880,28.23818273376673
2801,2020-04-30 06:07:59.658608,28.359983197879053
2802,2020-04-30 06:07:59.686183,28.404443774838
2803,2020-04-30 06:07:59.759104,28.4180281511508
2804,2020-04-30 06:07:59.790269,28.403451916761693
2835,2020-04-30 06:33:35.147434,27.483407832216468
2836,2020-04-30 06:33:35.606569,27.985055974218998
2837,2020-04-30 06:33:35.923706,28.363386559300128
2838,2020-04-30 06:33:36.420975,28.826570435892787
2839,2020-04-30 06:33:36.527208,28.94968462409452
2870,2020-04-30 06:59:05.532921,26.772047332953658
2871,2020-04-30 06:59:07.674572,28.930321537889537
2872,2020-04-30 06:59:08.223321,29.37657185504213
2873,2020-04-30 06:59:08.265739,29.458951775915924
2874,2020-04-30 06:59:08.897685,30.121032705064863
2905,2020-04-30 07:24:22.964594,28.07766392407939
2906,2020-04-30 07:24:23.610929,28.6223567686975
2907,2020-04-30 07:24:23.912092,28.993022094946355
2908,2020-04-30 07:24:24.103712,29.200519995763894
2909,2020-04-30 07:24:24.108041,29.16173010505736
2940,2020-04-30 07:49:54.242679,28.041445733979344
2941,2020-04-30 07:49:54.684989,28.501075630076233
2942,2020-04-30 07:49:54.783658,28.566291581373658
2943,2020-04-30 07:49:55.118518,28.833125726319853
2944,2020-04-30 07:49:55.926026,29.681596023030576
2975,2020-04-30 08:15:01.648157,25.34988294821233
2976,2020-04-30 08:15:04.621746,28.34009033115581
2977,2020-04-30 08:15:04.706175,28.323342077899728
2978,2020-04-30 08:15:05.339825,29.025627748109397
2979,2020-04-30 08:15:05.749275,29.408150733914226
3010,2020-04-30 08:40:20.791156,26.735042933840305
3011,2020-04-30 08:40:22.369613,28.280791451688856
3012,2020-04-30 08:40:22.622226,28.54967496078461
3013,2020-04-30 08:40:22.677940,28.49931249395013
3014,2020-04-30 08:40:23.980451,29.86504298774525
3045,2020-04-30 09:05:34.686727,27.845403554383665
3046,2020-04-30 09:05:35.715310,28.89198617544025
3047,2020-04-30 09:05:35.831923,28.974211675114933
3048,2020-04-30 09:05:36.331107,29.40029298327863
3049,2020-04-30 09:05:36.953088,30.06630764063448
3080,2020-04-30 09:30:49.835977,28.902877239044763
3081,2020-04-30 09:30:49.993917,29.07749135000631
3082,2020-04-30 09:30:50.078396,29.0555853699334
3083,2020-04-30 09:30:50.156094,29.20717468718067
3084,2020-04-30 09:30:52.629403,31.65063103986904
3115,2020-04-30 09:55:56.151908,24.93515837425366
3116,2020-04-30 09:55:59.920360,28.67115699406713
3117,2020-04-30 09:55:59.975866,28.70022192178294
3118,2020-04-30 09:56:00.694288,29.38026290200651
3119,2020-04-30 09:56:01.301670,30.068278787191964
3150,2020-04-30 10:21:04.711265,26.47380719520152
3151,2020-04-30 10:21:05.890478,27.593914725817736
3152,2020-04-30 10:21:06.581910,28.23908948013559
3153,2020-04-30 10:21:07.297641,29.043747260235254
3154,2020-04-30 10:21:07.707418,29.43748446600512
3185,2020-04-30 10:46:16.546209,28.41651678085327
3186,2020-04-30 10:46:17.009227,28.843581235967573
3187,2020-04-30 10:46:17.470658,29.36776133812964
3188,2020-04-30 10:46:17.536649,29.449916759040214
3189,2020-04-30 10:46:18.371846,30.30175593821332
3220,2020-04-30 11:11:38.225834,25.953521662857383
3221,2020-04-30 11:11:40.401860,28.11244765622541
3222,2020-04-30 11:11:40.933085,28.678120381198827
3223,2020-04-30 11:11:42.178600,29.862655207980428
3224,2020-04-30 11:11:42.608029,30.253303044941283
3255,2020-04-30 11:36:41.562181,27.70389019977301
3256,2020-04-30 11:36:42.016868,28.09830902889371
3257,2020-04-30 11:36:42.845569,28.970833186991516
3258,2020-04-30 11:36:43.629793,29.738891408313066
3259,2020-04-30 11:36:44.001030,30.08332646964118
3290,2020-04-30 12:01:45.002608,27.506116710137572
3291,2020-04-30 12:01:46.693360,29.22972723701969
3292,2020-04-30 12:01:46.846629,29.32387187797576
3293,2020-04-30 12:01:47.262036,29.695272580254827
3294,2020-04-30 12:01:47.464282,29.98414064431563
3325,2020-04-30 12:26:47.051484,28.421722876839343
3326,2020-04-30 12:26:47.260509,28.658355076331645
3327,2020-04-30 12:26:47.326827,28.65525176096708
3328,2020-04-30 12:26:47.583568,28.997591524850574
3329,2020-04-30 12:26:47.682552,29.113497406709943
3360,2020-04-30 12:51:59.643480,27.561297913081948
3361,2020-04-30 12:52:00.451204,28.3856744277291
3362,2020-04-30 12:52:00.998529,28.874336489010602
3363,2020-04-30 12:52:01.361357,29.199029635172334
3364,2020-04-30 12:52:01.953999,29.85614373907447
3395,2020-04-30 13:17:05.739958,28.476964132860303
3396,2020-04-30 13:17:06.431017,29.112871926743537
3397,2020-04-30 13:17:06.439117,29.14342438103631
3398,2020-04-30 13:17:06.864527,29.58501433394849
3399,2020-04-30 13:17:08.047089,30.728117870166894
3430,2020-04-30 13:42:05.200259,27.450300035998225
3431,2020-04-30 13:42:05.967666,28.27684578485787
3432,2020-04-30 13:42:06.406658,28.683234405703846
3433,2020-04-30 13:42:07.059124,29.351693282835182
3434,2020-04-30 13:42:07.334995,29.542329078074545
3465,2020-04-30 14:07:05.795508,27.46748729702085
